,Nikkiso,Osram 4.7 mW,Osram 42 mW,CIS,Stanely
Wavelength(nm),Intensity,Intensity,Intensity,Intensity,Intensity
,,,,,
265.88,4.474E-06,5.39761E-08,9.99559E-07,3.7852E-07,2.82305E-07
266.45,4.54126E-06,6.0885E-08,1.19917E-06,4.30432E-07,2.65042E-07
267.02,4.56728E-06,6.92846E-08,1.45616E-06,4.88565E-07,2.43774E-07
267.59,4.53268E-06,8.18271E-08,1.78209E-06,5.44565E-07,2.23241E-07
268.16,4.43469E-06,9.76794E-08,2.18443E-06,6.002E-07,2.01068E-07
268.73,4.28152E-06,1.15529E-07,2.68776E-06,6.54586E-07,1.79641E-07
269.30,4.08732E-06,1.40171E-07,3.27787E-06,7.04442E-07,1.59787E-07
269.87,3.85088E-06,1.70315E-07,3.96469E-06,7.49733E-07,1.41119E-07
270.44,3.58742E-06,2.04122E-07,4.79072E-06,7.85789E-07,1.24251E-07
271.01,3.29929E-06,2.49808E-07,5.69872E-06,8.11136E-07,1.08919E-07
271.58,3.01433E-06,2.98773E-07,6.70279E-06,8.28125E-07,9.51753E-08
272.15,2.70991E-06,3.53637E-07,7.75076E-06,8.28975E-07,8.23738E-08
272.72,2.43257E-06,4.1803E-07,8.8682E-06,8.22266E-07,7.13937E-08
273.29,2.15838E-06,4.82473E-07,9.93929E-06,8.03496E-07,6.31106E-08
273.87,1.9152E-06,5.4971E-07,1.09427E-05,7.73034E-07,5.47817E-08
274.44,1.68477E-06,6.1794E-07,1.18697E-05,7.33562E-07,4.74695E-08
275.01,1.47511E-06,6.82441E-07,1.2635E-05,6.89624E-07,4.18773E-08
275.58,1.28694E-06,7.43374E-07,1.32181E-05,6.40529E-07,3.6225E-08
276.15,1.12713E-06,7.90501E-07,1.35754E-05,5.90766E-07,3.31579E-08
276.72,9.75113E-07,8.27748E-07,1.36437E-05,5.39264E-07,2.83877E-08
277.29,8.51137E-07,8.49867E-07,1.35286E-05,4.91612E-07,2.52813E-08
277.86,7.44568E-07,8.56824E-07,1.31941E-05,4.4574E-07,2.26191E-08
278.43,6.41664E-07,8.54005E-07,1.26604E-05,4.0649E-07,2.05267E-08
279.00,5.68182E-07,8.32729E-07,1.19852E-05,3.66584E-07,1.82846E-08
279.57,4.95005E-07,7.98731E-07,1.12156E-05,3.32559E-07,1.68802E-08
280.14,4.32376E-07,7.58515E-07,1.03633E-05,3.01936E-07,1.54967E-08
280.71,3.77292E-07,7.06622E-07,9.45014E-06,2.71631E-07,1.37215E-08
281.29,3.3312E-07,6.52878E-07,8.56449E-06,2.46346E-07,1.31311E-08
281.86,2.95321E-07,5.97549E-07,7.68153E-06,2.23688E-07,1.15426E-08
282.43,2.59007E-07,5.3993E-07,6.8486E-06,2.00353E-07,1.13491E-08
283.00,2.30208E-07,4.87758E-07,6.0807E-06,1.79644E-07,1.07997E-08
283.57,2.00129E-07,4.37306E-07,5.39721E-06,1.61739E-07,9.56295E-09
284.14,1.75164E-07,3.92133E-07,4.7704E-06,1.44058E-07,9.52692E-09
284.71,1.56197E-07,3.46918E-07,4.22107E-06,1.29786E-07,8.71118E-09
285.28,1.4249E-07,3.10001E-07,3.69807E-06,1.14444E-07,7.93755E-09
285.85,1.24017E-07,2.77922E-07,3.28489E-06,1.04868E-07,7.41262E-09
286.42,1.12524E-07,2.46653E-07,2.88662E-06,9.30168E-08,7.19384E-09
287.00,1.01387E-07,2.18191E-07,2.54405E-06,8.32496E-08,7.08472E-09
287.57,9.11479E-08,1.92786E-07,2.26201E-06,7.52925E-08,6.66422E-09
288.14,8.41451E-08,1.7426E-07,1.99199E-06,6.66067E-08,6.79644E-09
288.71,7.35395E-08,1.54112E-07,1.75946E-06,6.03751E-08,6.019E-09
289.28,6.7237E-08,1.36865E-07,1.56412E-06,5.34894E-08,6.00432E-09
289.85,6.05524E-08,1.21905E-07,1.3988E-06,4.79005E-08,5.55368E-09
290.42,5.5858E-08,1.08103E-07,1.25097E-06,4.27357E-08,4.46236E-09
290.99,5.03386E-08,9.73701E-08,1.11052E-06,3.85631E-08,5.4262E-09
291.57,4.89997E-08,8.6003E-08,9.91133E-07,3.48878E-08,5.20257E-09
292.14,4.42472E-08,7.73161E-08,8.91929E-07,3.14082E-08,4.92411E-09
292.71,4.00714E-08,6.75731E-08,8.03887E-07,2.82681E-08,4.68507E-09
293.28,3.60883E-08,6.11112E-08,7.24242E-07,2.54276E-08,4.39435E-09
293.85,3.53934E-08,5.55761E-08,6.52691E-07,2.26864E-08,4.42661E-09
294.42,3.00068E-08,4.94682E-08,5.87859E-07,2.07398E-08,3.77486E-09
